Table 1
اون لاين,زيارة منزلية,العيادة,الكود,اسم مقدم الخدمة,المحافظة,المنطقة,الخدمة,الدرجة العلمية,التخصص,الفروع,العنوان,تليفون1,واتساب,تليفون2,مواعيد اون لاين,مواعيد العيادة,سعر الكشف,نسبة خصم كشف الاون لاين,نسبة خصم كشف العيادة,الزيارة المنزلية,الاسعار,نسبة خصم الاسعر,الاتعاب الادارية,تاريخ التنشيط,الرقم الخاص,مسؤول التعاقد,التليفون,الموقع,
No,No,Offline,1-1,مركز الاهرام للاشعة,القاهرة,حلوان,مركز اشعة,اشعة,اشعة,فرع,64أ شارع عبد الرحمن تقاطع شارع عبد الله فوق بنك مصر فرع نادى الاسمنت,221292000,01001614917,,,,,,,,اسعار خاصة ,0.25,0.1,7/2/24,,احمد حفنى,01006029061,,
No,No,Offline,1-1,البرج سكان,الجيزة, اكتوبر,مركز اشعة,اشعة,اشعة,فرع,مبنى كابيتال بيزنس بارك - الشيخ زايد - 6 اكتوبر,19911,0,,,,,,,,اسعار خاصة ,0.1,0,7/4/24,,دكتور احمد النشار,01001083355,https://goo.gl/maps/ewb2cbCcuBgPL4Ze8,
No,No,Offline,1-1,البرج سكان,الجيزة,المهندسين,مركز اشعة,اشعة,اشعة,فرع,59 ش عبد المنعم رياض المهندسين برج الاطباء الدور التانى,19911,0,,,,,,,,اسعار خاصة ,0.1,0,7/4/24,,دكتور احمد النشار,01001083355,https://goo.gl/maps/uC4aa713eZ4yhGSn9,
No,No,Offline,1-1,البرج سكان,الجيزة,فيصل,مركز اشعة,اشعة,اشعة,فرع,شارع فيصل محطة التعاون,19911,0,,,,,,,,اسعار خاصة ,0.1,0,7/4/24,,دكتور احمد النشار,01001083355,https://goo.gl/maps/Vq9JqjoFbRkRtWkq5,
No,No,Offline,1-1,البرج سكان,القاهرة,المعادى,مركز اشعة,اشعة,اشعة,فرع,30 شارع الجزائر المعادى,19911,0,,,,,,,,اسعار خاصة ,0.1,0,7/4/24,,دكتور احمد النشار,01001083355,https://goo.gl/maps/5qZpNL9vUeP5WEYe8,
No,No,Offline,1-1,البرج سكان,القاهرة,المعادى,مركز اشعة,اشعة,اشعة,فرع,22 شارع عبدالرازق السنهورى مدينة نصر -,19911,0,,,,,,,,اسعار خاصة ,0.1,0,7/4/24,,دكتور احمد النشار,01001083355,"https://www.google.co.uk/maps?q=30.0628948,31.3407754",
No,No,Offline,1-1,البرج سكان,القاهرة,شبرا,مركز اشعة,اشعة,اشعة,فرع,59 شارع شبرا,19911,0,,,,,,,,اسعار خاصة ,0.1,0,7/4/24,,دكتور احمد النشار,01001083355,https://goo.gl/maps/emRnpdXbL5869woN6,
No,No,Offline,1-1,البرج سكان,القاهرة,مصر الجديدة,مركز اشعة,اشعة,اشعة,فرع,67 شارع الميرغنى مصر الجديدة,19911,0,,,,,,,,اسعار خاصة ,0.1,0,7/4/24,,دكتور احمد النشار,01001083355,https://goo.gl/maps/aNDts9LjXVZwdYfz5,
No,No,Offline,1-1,مركز الاهرام للاشعة,الجيزة,فيصل,مركز اشعة,اشعة,اشعة,فرع,434شارع الملك فيصل فوق مستشفى تبارك للاطفال,221292000,01001614917,,,,,,,,اسعار خاصة ,0.25,0.1,7/2/24,,احمد حفنى,01006029061,,
No,No,Offline,1-1,مركز الاهرام للاشعة,الجيزة,شبرا,مركز اشعة,اشعة,اشعة,فرع,128شارع شبرا امام قسم الساحل بجوار سنترال شبرا,221292000,01001614917,,,,,,,,اسعار خاصة ,0.25,0.1,7/2/24,,احمد حفنى,01006029061,,
No,No,Offline,1-1,مركز الاهرام للاشعة,الجيزة,اكتوبر,مركز اشعة,اشعة,اشعة,فرع,رنا مول الحصرى فوق سوبر ماركت اولاد رجب الدور الثانى,221292000,01001614917,,,,,,,,اسعار خاصة ,0.25,0.1,7/2/24,,احمد حفنى,01006029061,,
No,No,Offline,1,مركز الاهرام للاشعة,الجيزة,الدقى,مركز اشعة,اشعة,اشعة,المقر الرئيسى,92شارع التحرير برج ساريدار الطبى الدور الثالث,221292000,01001614917,,,,,,,,اسعار خاصة ,0.25,0.1,7/2/24,,احمد حفنى,01006029061,,
